,Broj suseda,Spisak suseda
A4D1U4,1,['P0DTC5']
A6NFN3,2,"['P0DTC5', 'Q99963']"
A7KAX9,2,"['A7KAX9', 'P0DTC5']"
O00165,4,"['O00165', 'P0DTC5', 'P51617', 'Q9H4G0']"
O00217,2,"['P0DTC5', 'P42695']"
O00471,6,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9UNE7', 'Q9UPT5']"
O00482,2,"['O00482', 'P0DTC5']"
O00499,4,"['O00499', 'P0DTC5', 'P18850', 'P42695']"
O14678,2,"['O14678', 'P0DTC5']"
O14981,2,"['P0DTC5', 'P0DTC7']"
O15063,1,['P0DTC5']
O15069,1,['P0DTC5']
O15287,2,"['O15287', 'P0DTC5']"
O15354,5,"['O15354', 'O95070', 'P0DTC5', 'Q5BJH7', 'Q8IW50']"
O15374,2,"['O15374', 'P0DTC5']"
O43251,3,"['O43251', 'P0DTC5', 'Q99963']"
O43399,5,"['O43399', 'P0DTC5', 'P42695', 'Q14164', 'Q16890']"
O43747,2,"['O43747', 'P0DTC5']"
O43752,3,"['P0DTC5', 'P0DTD8', 'P27105']"
O43826,1,['P0DTC5']
O43852,6,"['O43852', 'P0DTC5', 'P0DTC7', 'P0DTD8', 'P51617', 'Q96CB8']"
O43929,1,['P0DTC5']
O60318,1,['P0DTC5']
O60499,3,"['O60499', 'P0DTC5', 'P0DTD8']"
O60674,2,"['O60674', 'P0DTC5']"
O60684,3,"['P0DTC5', 'P20700', 'Q14653']"
O75306,2,"['P0DTC5', 'Q8WWC4']"
O75439,4,"['P0DTC5', 'Q10713', 'Q8WWC4', 'Q96D53']"
O75448,1,['P0DTC5']
O75629,1,['P0DTC5']
O75691,1,['P0DTC5']
O75694,3,"['O75694', 'P0DTC5', 'P51617']"
O75841,1,['P0DTC5']
O75947,4,"['O75947', 'P0DTC5', 'P27105', 'P51636']"
O75953,2,"['P0DTC5', 'Q9UDY4']"
O76082,1,['P0DTC5']
O94788,2,"['O94788', 'P0DTC5']"
O94822,4,"['O94822', 'P0DTC5', 'P0DTC7', 'P51617']"
O94829,2,"['P0DTC5', 'P27105']"
O94868,2,"['O94868', 'P0DTC5']"
O94919,3,"['P0DTC5', 'P27105', 'Q9Y6E2']"
O95070,2,"['O15354', 'P0DTC5']"
O95299,1,['P0DTC5']
O95772,3,"['O95772', 'P0DTC5', 'P27105']"
O95786,5,"['O95786', 'P0DTC5', 'P0DTC9', 'Q13114', 'Q7Z434']"
O95864,2,"['O95864', 'P0DTC5']"
P00403,2,"['P0DTC5', 'P27105']"
P00748,3,"['P01042', 'P0DTC5', 'P0DTC9']"
P01031,1,['P0DTC5']
P01042,5,"['P00748', 'P01042', 'P0DTC5', 'P0DTC9', 'Q07021-PRO_0000018590']"
P05026,2,"['P05026', 'P0DTC5']"
P05165,3,"['P05165', 'P05166', 'P0DTC5']"
P05166,2,"['P05165', 'P0DTC5']"
P07093,2,"['P07093', 'P0DTC5']"
P07858,1,['P0DTC5']
P08236,2,"['P08236', 'P0DTC5']"
P0C0L4-PRO_0000042698,2,"['P0DTC4', 'P0DTC5']"
P0C0L5-PRO_0000042704,2,"['P0DTC4', 'P0DTC5']"
P0DTC4,9,"['P0C0L4-PRO_0000042698', 'P0C0L5-PRO_0000042704', 'P0DTC4', 'P0DTC5', 'P0DTC6', 'P0DTC9', 'P0DTD8', 'Q07021-PRO_0000018590', 'Q9ULX6']"
