,Broj suseda,Spisak suseda
A0A024R071,4,"['A0A024R071', 'P0DTC5', 'Q8WUM0', 'Q9BW27']"
A0A024R374,5,"['A0A024R374', 'P0DTC2', 'P0DTC5', 'XP_011517282', 'XP_016870032']"
A0A024R3H9,1,['P0DTC5']
A0A024R3U8,8,"['A0A024R3U8', 'O75306', 'O75439', 'O75947', 'P0DTC5', 'XP_006711619', 'XP_006722173', 'XP_016870032']"
A0A024R438,3,"['A0A024R438', 'P0DTC5', 'Q9UHD2']"
A0A024R451,1,['P0DTC5']
A0A024R5M8,1,['P0DTC5']
A0A024R6X4,1,['P0DTC5']
A0A024R7X0,3,"['P0DTC5', 'P0DTC7', 'Q9Y6D5']"
A0A024R882,14,"['A0A024R882', 'A0A1X7RBF7', 'F2YGU2', 'G1UCX3', 'O75947', 'O94829', 'O94919', 'O95772', 'P0DTC5', 'P38606', 'P48047', 'Q99720', 'Q9UI26', 'XP_005260487']"
A0A024RB08,2,"['F2YGU2', 'P0DTC5']"
A0A024RDC2,1,['P0DTC5']
A0A0S2Z366,6,"['A0A0S2Z366', 'A0A0S2Z3L0', 'A4D0W4', 'F2YGU2', 'P0DTC5', 'P38606']"
A0A0S2Z3L0,4,"['A0A0S2Z366', 'F2YGU2', 'P0DTC5', 'P16219']"
A0A0S2Z3P9,4,"['A0A0S2Z3P9', 'P0DTC5', 'P27144', 'Q9Y312']"
A0A0S2Z514,1,['P0DTC5']
A0A0S2Z591,4,"['P0DTC5', 'Q9BSJ2', 'Q9Y312', 'XP_011535765']"
A0A0S2Z5H6,2,"['P0DTC5', 'XP_011539858']"
A0A140VJX1,6,"['A0A140VJX1', 'A3KLL5', 'F2YGU2', 'P0DTC5', 'Q99720', 'Q9UNE7']"
A0A1L5BXV2,3,"['A0A1L5BXV2', 'P0DTC5', 'Q00765']"
A0A1X7RBF7,7,"['A0A024R882', 'A0A1X7RBF7', 'F2YGU2', 'O00217', 'O75947', 'P0DTC5', 'P48047']"
A0A384NKJ3,2,"['A0A384NKJ3', 'P0DTC5']"
A0A663DJA2,5,"['A0A663DJA2', 'P0DTC1', 'P0DTC5', 'P0DTC9', 'P0DTD1']"
A3KLL5,3,"['A0A140VJX1', 'P0DTC5', 'Q9NQC3-6']"
A4D0W4,3,"['A0A0S2Z366', 'A4D0W4', 'P0DTC5']"
A4D1U4,1,['P0DTC5']
A6NFN3,1,['P0DTC5']
B7Z6P0,3,"['F2YGU2', 'P0DTC5', 'Q9UNE7']"
B7ZM99,3,"['F2YGU2', 'P0DTC5', 'Q9Y312']"
D3YTB5,6,"['D3YTB5', 'O43852-15', 'P0DTC5', 'Q03135', 'Q6SZW1', 'Q9UNE7']"
F2YGU2,27,"['A0A024R882', 'A0A024RB08', 'A0A0S2Z366', 'A0A0S2Z3L0', 'A0A140VJX1', 'A0A1X7RBF7', 'B7Z6P0', 'B7ZM99', 'F2YGU2', 'O43929-2', 'O95864', 'P0DTC5', 'P20700', 'P38606', 'P78527', 'Q7L8L6', 'Q86UA1', 'Q8N442', 'Q9UI26', 'XP_005247565', 'XP_005254116', 'XP_005259911', 'XP_005264473', 'XP_006712606', 'XP_006718642', 'XP_006725155', 'XP_011535590']"
G1UCX3,2,"['A0A024R882', 'P0DTC5']"
NP_001073866,1,['P0DTC5']
O00217,7,"['A0A1X7RBF7', 'O75306', 'O75947', 'P0DTC5', 'P38606', 'P48047', 'XP_005247565']"
O00471,6,"['O00471', 'P0DTC5', 'Q8TAG9', 'Q96A65', 'Q9UNE7', 'Q9UPT5']"
O00482-4,1,['P0DTC5']
O14981,2,"['P0DTC5', 'P0DTC7']"
O15063,1,['P0DTC5']
O15287,3,"['O15287', 'P0DTC5', 'Q9NVI1']"
O15354,4,"['O15354', 'O95070', 'P0DTC5', 'Q9UNE7']"
O15374,1,['P0DTC5']
O43852-15,3,"['D3YTB5', 'P0DTC5', 'Q9UI26']"
O43929-2,2,"['F2YGU2', 'P0DTC5']"
O60318,1,['P0DTC5']
