,Broj suseda,Spisak suseda
A0A024QYX0,9,"['A0A024QYX0', 'O43169', 'Q969E2', 'Q9BSR8', 'XP_005269747', 'XP_006710653', 'XP_006721734', 'XP_011536827', 'YP_009725302']"
A0A024QZF1,11,"['A0A024QZF1', 'A0A024R6Y2', 'P11021', 'Q8TEM1', 'XP_005260322', 'XP_005266657', 'XP_006714299', 'XP_006717355', 'XP_016860365', 'XP_016880183', 'YP_009725305']"
A0A024R1U4,10,"['A0A024R7I3', 'A0A024R7V6', 'A0A158RFU6', 'B7Z8M7', 'P00387', 'P61026', 'Q03135', 'Q9H3R2', 'XP_016870412', 'YP_009725303']"
A0A024R2W3,13,"['A0A024R2W3', 'A0A024R712', 'A0A384N6C2', 'O43823', 'O95684', 'Q03135', 'Q13637', 'XP_005260041', 'XP_006711712', 'XP_016867147', 'XP_016870412', 'XP_016883851', 'YP_009725308']"
A0A024R324,10,"['A0A024R324', 'A0A024R6Y2', 'A0A140VJJ8', 'P0CG48', 'P26038', 'Q03135', 'Q5HYI8', 'XP_006714347', 'XP_011536092', 'YP_009725303']"
A0A024R3X9,3,"['O95684', 'Q08379', 'YP_009725310']"
A0A024R438,6,"['A0A024R438', 'A0A158RFU6', 'Q08379', 'Q96CW1', 'Q9UHD2', 'YP_009725302']"
A0A024R487,6,"['A0A024RDU9', 'A0A024RDV9', 'A0A384N5Y3', 'Q92769', 'XP_005269747', 'YP_009725303']"
A0A024R5T9,5,"['A0A024R5W0', 'P0DTC3', 'Q9H3R2', 'XP_016878348', 'YP_009725302']"
A0A024R5W0,6,"['A0A024R5T9', 'A0A024R5W0', 'NP_828866', 'P0CG48', 'Q4V328', 'YP_009725304']"
A0A024R648,5,"['A0A024R648', 'B2R4A9', 'P62072', 'Q9BSF4', 'YP_009725300']"
A0A024R6G3,4,"['A0A024R6G3', 'P35555', 'P35556', 'YP_009725305']"
A0A024R6Y2,9,"['A0A024QZF1', 'A0A024R324', 'A0A024R6Y2', 'A0A158RFU6', 'Q5T6F2', 'XP_006714299', 'XP_006722727', 'XP_011518231', 'YP_009725310']"
A0A024R712,13,"['A0A024R2W3', 'A0A024R712', 'A0A024R7I3', 'O95684', 'Q66GS9', 'Q86YT6', 'XP_005260041', 'XP_005264276', 'XP_006711712', 'XP_016867147', 'XP_016870412', 'XP_016870551', 'YP_009725308']"
A0A024R719,2,"['A0A0S2Z597', 'YP_009725302']"
A0A024R7I3,13,"['A0A024R1U4', 'A0A024R712', 'A0A158RFU6', 'B7Z8M7', 'O95684', 'P0DTC3', 'P11233', 'P61026', 'P62330', 'Q66GS9', 'Q9H4P4-2', 'XP_006717004', 'YP_009725303']"
A0A024R7V6,14,"['A0A024R1U4', 'A0A024R7V6', 'A0A140VJG8', 'A0A158RFU6', 'B7Z8M7', 'O95684', 'P00387', 'P0DTC3', 'Q03135', 'Q08379', 'Q96HP0', 'XP_006717004', 'XP_011535124', 'YP_009725303']"
A0A024R816,2,"['Q12907', 'YP_009725302']"
A0A024R845,6,"['A0A140VJG8', 'P0DTC3', 'P11021', 'P11233', 'XP_016862951', 'YP_009725303']"
A0A024R8U8,4,"['A0A024R8U8', 'P0DTD8', 'XP_005260938', 'YP_009725302']"
A0A024R9N3,8,"['NP_000932', 'P06576', 'Q15006', 'Q8NBX0', 'Q9P0I2', 'XP_005269747', 'XP_016878356', 'YP_009725302']"
A0A024RAJ1,6,"['P82663', 'Q4G0J3', 'Q7L2J0-2', 'Q9Y399', 'XP_006712757', 'YP_009725304']"
A0A024RDU9,5,"['A0A024R487', 'A0A024RDU9', 'NP_828859', 'O96028', 'YP_009725305']"
A0A024RDV9,4,"['A0A024R487', 'P0CG48', 'P11021', 'YP_009725305']"
A0A0A6YZ17,3,"['P0CG48', 'Q8NBX0', 'YP_009725308']"
A0A0S2Z4C3,6,"['A0A0S2Z4C3', 'P0DTD8', 'P26038', 'Q9HAV7', 'Q9NQT4', 'YP_009725307']"
A0A0S2Z597,2,"['A0A024R719', 'YP_009725302']"
A0A0S2Z5X1,3,"['P11021', 'Q9HAV7', 'YP_009725303']"
A0A0S2Z652,6,"['A0A0S2Z652', 'B1ALW7', 'P0DTC7', 'Q8WTW3', 'XP_016868243', 'YP_009725302']"
A0A140VJG8,7,"['A0A024R7V6', 'A0A024R845', 'A0A140VJP2', 'NP_000932', 'P0DTD8', 'XP_016880591', 'YP_009725303']"
A0A140VJJ8,5,"['A0A024R324', 'P00387', 'P15313', 'P63218', 'YP_009725303']"
A0A140VJP2,5,"['A0A140VJG8', 'A0A140VJP2', 'P06280', 'XP_011514858', 'YP_009725305']"
A0A140VK12,2,"['A0A140VK12', 'YP_009725302']"
