,Broj suseda,Spisak suseda
A5D8V6,1,['O15496']
A8MQ03,3,"['O15496', 'P05187', 'Q8WUT4']"
A8MT70,1,['Q99750']
A8MV65,1,['O15496']
O00501,1,['P11686']
O14613,1,['Q9NQ75']
O14863,1,['Q9NV29']
O14964,1,['O15496']
O15116,1,['Q8TD06']
O15393,1,['P11686']
O15496,29,"['A5D8V6', 'A8MQ03', 'A8MV65', 'O14964', 'O43593', 'O60336', 'O75716', 'O95817', 'O95947', 'P09234', 'P21145', 'P29972', 'P54253', 'Q01974', 'Q02930', 'Q03989', 'Q0VD86', 'Q3V5L5', 'Q7Z5V6', 'Q86UR1', 'Q8NEC5', 'Q8WU58', 'Q92734', 'Q96HA8', 'Q96K80', 'Q99932', 'Q9BWX5', 'Q9ULV5', 'Q9Y223']"
O43278,1,['Q8TD06']
O43593,1,['O15496']
O43765,1,['Q8TD06']
O60336,1,['O15496']
O75477,1,['Q8TD06']
O75716,1,['O15496']
O95171,1,['Q13287']
O95198,1,['Q9H1P6']
O95406,1,['Q8IX19']
O95436,8,"['P26678', 'Q5BJH2', 'Q69YG0', 'Q8N5M9', 'Q92504', 'Q9NVV5', 'Q9UKR5', 'Q9Y6I9']"
O95471,1,['Q9NV29']
O95817,1,['O15496']
O95947,1,['O15496']
P01189,1,['Q8N8Y2']
P05187,11,"['A8MQ03', 'P22735', 'P24592', 'P42830', 'P49795', 'P50222', 'P57678', 'Q02930', 'Q6UY14', 'Q92570', 'Q9NWN3']"
P05981,1,['P11686']
P07306,1,['Q8IX19']
P07307,1,['Q8IX19']
P07988,1,['P50222']
P09234,1,['O15496']
P11684,2,"['Q13049', 'Q9BTV4']"
P11686,20,"['O00501', 'O15393', 'P05981', 'P11912', 'P15151', 'P15941', 'P26715', 'P32942', 'P38484', 'Q07325', 'Q13113', 'Q8IV31', 'Q8NBJ4', 'Q8TD46', 'Q8TED1', 'Q96G97', 'Q96IW7', 'Q9BSE2', 'Q9BVX2', 'Q9Y336']"
P11912,1,['P11686']
P15151,1,['P11686']
P15260,1,['Q9NV29']
P15328,1,['Q8N357']
P15529,1,['Q8TD06']
P15941,1,['P11686']
P20138,1,['Q9NV29']
P21145,1,['O15496']
P21964,1,['Q9NV29']
P22735,1,['P05187']
P24592,1,['P05187']
P26678,1,['O95436']
P26715,1,['P11686']
P29972,1,['O15496']
P32942,1,['P11686']
P38484,1,['P11686']
P42830,1,['P05187']
P49795,1,['P05187']
P50222,4,"['P05187', 'P07988', 'Q8N8Y2', 'Q9NPA2']"
P54253,1,['O15496']
P54284,1,['Q9H1P6']
P56856,2,"['Q01453', 'Q08426']"
P57678,1,['P05187']
P62166,1,['Q8IWL1']
P80188,1,['Q9H1P6']
Q01453,1,['P56856']
Q01974,1,['O15496']
Q02930,2,"['O15496', 'P05187']"
Q03989,2,"['O15496', 'Q8N8Y2']"
Q04864,1,['Q8N8Y2']
Q07325,1,['P11686']
Q08426,1,['P56856']
Q0VD86,2,"['O15496', 'Q8N8Y2']"
Q10567,1,['Q8TD06']
Q13021,1,['Q8IX19']
Q13049,1,['P11684']
Q13113,2,"['P11686', 'Q8TD06']"
Q13287,1,['O95171']
Q13421,1,['Q92624']
Q13643,1,['Q9NQ75']
Q14192,1,['Q9H1P6']
Q14802,1,['Q8TD06']
Q15019,1,['Q8N8Y2']
Q15041,1,['Q8IX19']
Q15109,2,"['Q5BVD1', 'Q96FZ5']"
Q15942,1,['Q9NQ75']
Q16623,1,['Q9NV29']
Q2TAC2,1,['Q9NV29']
Q3V5L5,1,['O15496']
Q4KMG9,1,['Q9NV29']
Q5BJH2,1,['O95436']
Q5BVD1,1,['Q15109']
Q5JVL4,1,['Q9H1P6']
Q5RI15,1,['Q9BZP6']
Q69YG0,1,['O95436']
Q6DKK2,1,['Q9H1P6']
Q6ICB0,1,['Q8TD06']
Q6NTF9,1,['Q96QR1']
Q6UY14,1,['P05187']
Q6ZMZ0,1,['Q9NV29']
Q7Z5P4,1,['Q9NV29']
Q7Z5V6,1,['O15496']
Q7Z6G8,1,['Q9NQ75']
Q86U10,1,['Q9H1P6']
