,Broj suseda,Spisak suseda
A0A663DJA2,4,"['A0A663DJA2', 'P0DTC3', 'P0DTC5', 'P0DTC9']"
P0DTC2,3,"['P0DTC2', 'P0DTC4', 'P0DTC5']"
P0DTC3,6,"['A0A663DJA2', 'P0DTC3', 'P0DTC4', 'P0DTC7', 'P0DTD8', 'YP_009725300']"
P0DTC4,5,"['P0DTC2', 'P0DTC3', 'P0DTC4', 'P0DTC9', 'P0DTD2']"
P0DTC5,7,"['A0A663DJA2', 'P0DTC2', 'P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTC9', 'P0DTD8']"
P0DTC6,5,"['P0DTC5', 'P0DTC6', 'P0DTC7', 'YP_009725299', 'YP_009725309']"
P0DTC7,7,"['P0DTC3', 'P0DTC5', 'P0DTC6', 'P0DTC7', 'P0DTC9', 'P0DTD2', 'YP_009725303']"
P0DTC8,2,"['P0DTC8', 'YP_009725304']"
P0DTC9,6,"['A0A663DJA2', 'P0DTC4', 'P0DTC5', 'P0DTC7', 'P0DTC9', 'YP_009725300']"
P0DTD2,3,"['P0DTC4', 'P0DTC7', 'P0DTD2']"
P0DTD3,0,[]
P0DTD8,5,"['P0DTC3', 'P0DTC5', 'P0DTD8', 'YP_009725297', 'YP_009725303']"
P0DTF1,0,[]
P0DTG0,0,[]
P0DTG1,0,[]
YP_009725297,1,['P0DTD8']
YP_009725298,2,"['YP_009725298', 'YP_009725310']"
YP_009725299,2,"['P0DTC6', 'YP_009725299']"
YP_009725300,3,"['P0DTC3', 'P0DTC9', 'YP_009725300']"
YP_009725301,1,['YP_009725301']
YP_009725302,1,['YP_009725302']
YP_009725303,5,"['P0DTC7', 'P0DTD8', 'YP_009725304', 'YP_009725305', 'YP_009725307']"
YP_009725304,4,"['P0DTC8', 'YP_009725303', 'YP_009725304', 'YP_009725307']"
YP_009725305,2,"['YP_009725303', 'YP_009725305']"
YP_009725306,2,"['YP_009725309', 'YP_009725311']"
YP_009725307,3,"['YP_009725303', 'YP_009725304', 'YP_009725307']"
YP_009725308,0,[]
YP_009725309,3,"['P0DTC6', 'YP_009725306', 'YP_009725309']"
YP_009725310,2,"['YP_009725298', 'YP_009725310']"
YP_009725311,1,['YP_009725306']
