,F2YGU2,P0DTC7,A0A024R882,P0DTD8,P0DTD1,P0DTC1,Q9Y312,O75947,P48047,Q9UHD2
susedi,27,20,14,14,12,11,11,10,10,10
duzina,615,121,288,43,7096,4405,384,161,213,729
ljudski,True,False,True,False,False,False,True,True,True,True
prof_hard,0,0,0,0,0,0,0,0,0,0
prof_soft,0.5,0.1875,0.4375,0.1875,0.0625,0.125,0.25,0.5,0.5625,0.25
prof_ppidr,0.39186991869918697,0.347107438016529,0.375,0.18604651162790697,0.31426155580608794,0.32531214528944385,0.38802083333333337,0.49068322981366463,0.4225352112676056,0.3429355281207134
prof_reg5,6,0,2,0,16,12,4,1,1,0
prof_reg31,0,0,0,0,0,0,0,0,0,0
vlxt_reg5,7,1,4,1,42,30,5,2,4,8
vlxt_reg31,4,0,1,0,5,5,1,0,0,0
vsl2_reg5,7,2,4,1,36,23,7,5,4,8
vsl2_reg31,3,0,1,0,4,4,1,0,0,1
vlxt_mean,0.3516,0.18,0.3744,0.1824,0.1437,0.1722,0.2686,0.1827,0.3165,0.2438
vlxt_ppidr,0.2862,0.08259999999999999,0.36460000000000004,0.13949999999999999,0.0909,0.1201,0.2812,0.087,0.1784,0.1399
vsl2_mean,0.4574,0.2469,0.3588,0.2359,0.267,0.2848,0.3296,0.4478,0.4062,0.3349
vsl2_ppidr,0.4439,0.124,0.2535,0.23260000000000003,0.0833,0.1058,0.22920000000000001,0.3851,0.21600000000000003,0.1962
ch_val,0.4758,0.5354,0.5048,0.661,0.4922,0.4974,0.4853,0.4384,0.4978,0.4614
ch_ind,0,0,0,0,0,0,0,0,0,0
sus_stepen,12.88888888888889,16.05,22.214285714285715,20.357142857142858,25.75,27.90909090909091,24.727272727272727,29.4,29.1,27.8
sus_duzina,640.925925925926,1321.55,437.2142857142857,1198.0714285714287,1300.6666666666667,1342.1818181818182,794.9090909090909,724.7,789.0,1613.3
sus_hard,0.07407407407407407,0.1,0.0,0.07142857142857142,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.0,0.1,0.1
sus_ch,0.1111111111111111,0.1,0.0,0.07142857142857142,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
sus_prof,0.35780007628452876,0.3629205759432834,0.35812841317271327,0.32991115411682786,0.3059423102049623,0.33548294757502245,0.36780712082976413,0.35380697883359236,0.36652818164175416,0.3590604800165925
sus_vlxt,0.2353222222222222,0.22597500000000004,0.19369285714285714,0.21155714285714283,0.15313333333333332,0.1483,0.19841818181818185,0.17397,0.20029000000000002,0.24118999999999996
sus_vsl2,0.22928148148148148,0.27053499999999997,0.2046214285714286,0.25147142857142857,0.21388333333333331,0.23067272727272725,0.260409090909091,0.21156999999999998,0.28089,0.33278
